Entity,Code,Year,Gas - Proved reserves
Argentina,ARG,1997,666900000000
Argentina,ARG,1998,669825000000
Argentina,ARG,1999,710775000000
Argentina,ARG,2000,758550000000
Argentina,ARG,2001,744900000000
Argentina,ARG,2002,647400000000
Argentina,ARG,2003,596700000000
Argentina,ARG,2004,528450000000
Argentina,ARG,2005,428025000000
Argentina,ARG,2006,434850000000
Argentina,ARG,2007,429819700000
Argentina,ARG,2008,387569460000
Argentina,ARG,2009,368265330000
Argentina,ARG,2010,348847330000
Argentina,ARG,2011,323366200000
Argentina,ARG,2012,306831240000
Argentina,ARG,2013,319232550000
Argentina,ARG,2014,323081460000
Argentina,ARG,2015,340845800000
Argentina,ARG,2016,327410250000
Argentina,ARG,2017,345684440000
Argentina,ARG,2018,360488100000
Argentina,ARG,2019,385567750000
Argentina,ARG,2020,385567750000
Asia,,1980,27849548000000
Asia,,1981,28529972000000
Asia,,1982,29702267000000
Asia,,1983,30301110000000
Asia,,1984,32050345999999.996
Asia,,1985,32623707000000.004
Asia,,1986,35737560000000
Asia,,1987,36640717000000
Asia,,1988,39863510000000
Asia,,1989,43793907000000
Asia,,1990,44337933000000
Asia,,1991,48147552000000
Asia,,1992,49564500000000
Asia,,1993,50207497000000
Asia,,1994,51371517000000
Asia,,1995,51270560000000
Asia,,1996,54552773000000
Asia,,1997,59986360000000
Asia,,1998,64140469999999.99
Asia,,1999,67051810000000
Asia,,2000,71785510000000
Asia,,2001,84077160000000
Asia,,2002,85001550000000
Asia,,2003,85721570000000
Asia,,2004,86088770000000
Asia,,2005,84269190000000
Asia,,2006,85706894000000
Asia,,2007,92059200000000
Asia,,2008,94054330000000
Asia,,2009,96154260000000
Asia,,2010,105536670000000
Asia,,2011,106430190000000
Asia,,2012,105486370000000
Asia,,2013,105092390000000
Asia,,2014,106635520000000
Asia,,2015,106582170000000
Asia,,2016,108495640000000
Asia,,2017,106731964000000
Asia,,2018,107880230000000
Asia,,2019,109192660000000
Asia,,2020,109024414000000
Asia Pacific (BP),,1980,3960505700000
Asia Pacific (BP),,1981,4565401600000
Asia Pacific (BP),,1982,5011799300000
Asia Pacific (BP),,1983,5107080000000
Asia Pacific (BP),,1984,5863704000000
Asia Pacific (BP),,1985,6189464600000
Asia Pacific (BP),,1986,6799892000000
Asia Pacific (BP),,1987,7104082000000
Asia Pacific (BP),,1988,7289435000000
Asia Pacific (BP),,1989,7869379500000
Asia Pacific (BP),,1990,8251344000000
Asia Pacific (BP),,1991,7509834000000
Asia Pacific (BP),,1992,7771208300000
Asia Pacific (BP),,1993,7981892000000
Asia Pacific (BP),,1994,8281658999999.999
Asia Pacific (BP),,1995,8233972000000
Asia Pacific (BP),,1996,7932480000000
Asia Pacific (BP),,1997,8251443999999.999
Asia Pacific (BP),,1998,9082313000000
Asia Pacific (BP),,1999,9390206000000
Asia Pacific (BP),,2000,9815051000000
Asia Pacific (BP),,2001,10344284000000
Asia Pacific (BP),,2002,10317544000000
Asia Pacific (BP),,2003,10392482000000
Asia Pacific (BP),,2004,10759802000000
Asia Pacific (BP),,2005,10869497000000
Asia Pacific (BP),,2006,11168620000000
Asia Pacific (BP),,2007,12235752000000
Asia Pacific (BP),,2008,13706831000000
Asia Pacific (BP),,2009,13911233000000
Asia Pacific (BP),,2010,13521761000000
Asia Pacific (BP),,2011,13763408000000
Asia Pacific (BP),,2012,13880832000000
Asia Pacific (BP),,2013,14233170500000
Asia Pacific (BP),,2014,14041744000000
Asia Pacific (BP),,2015,14654057000000
Asia Pacific (BP),,2016,15455543500000
Asia Pacific (BP),,2017,15974779000000
Asia Pacific (BP),,2018,16081911000000.002
Asia Pacific (BP),,2019,16784866000000
Asia Pacific (BP),,2020,16560028000000
Australia,AUS,1980,141336000000
Australia,AUS,1981,356382000000
Australia,AUS,1982,499980000000
Australia,AUS,1983,490620000000
Australia,AUS,1984,537420000000
Australia,AUS,1985,553020000000
Australia,AUS,1986,703560000000
Australia,AUS,1987,833820000000
Australia,AUS,1988,805740000000
Australia,AUS,1989,744900000000
Australia,AUS,1990,723060000000
Australia,AUS,1991,741000000000
Australia,AUS,1992,784680000000
Australia,AUS,1993,773760000000
Australia,AUS,1994,1007760000000
Australia,AUS,1995,985920000000
Australia,AUS,1996,1060800000000
Australia,AUS,1997,1165320000000
Australia,AUS,1998,1551420000000
Australia,AUS,1999,1551420000000
Australia,AUS,2000,1718340000000
Australia,AUS,2001,2080260000000
Australia,AUS,2002,1971840000000
Australia,AUS,2003,1857664300000
Australia,AUS,2004,1811644400000
Australia,AUS,2005,1835824400000
Australia,AUS,2006,1851983700000
Australia,AUS,2007,1788283800000
Australia,AUS,2008,2743264000000
Australia,AUS,2009,2753443000000
Australia,AUS,2010,2859665000000
Australia,AUS,2011,2814823900000
Australia,AUS,2012,2819435600000
Australia,AUS,2013,2820378300000
Australia,AUS,2014,2386109000000
Australia,AUS,2015,2389595500000
Australia,AUS,2016,2389595500000
Australia,AUS,2017,2389595500000
Australia,AUS,2018,2389595500000
Australia,AUS,2019,2389595500000
Australia,AUS,2020,2389595500000
Azerbaijan,AZE,1997,655689000000
Azerbaijan,AZE,1998,655689000000
Azerbaijan,AZE,1999,990199700000
Azerbaijan,AZE,2000,990199700000
Azerbaijan,AZE,2001,990199700000
Azerbaijan,AZE,2002,990199700000
Azerbaijan,AZE,2003,990199700000
Azerbaijan,AZE,2004,990199700000
Azerbaijan,AZE,2005,990199700000
Azerbaijan,AZE,2006,990199700000
Azerbaijan,AZE,2007,997965930000
Azerbaijan,AZE,2008,1055436400000
Azerbaijan,AZE,2009,1017381700000
Azerbaijan,AZE,2010,1020923000000
Azerbaijan,AZE,2011,1020923000000
Azerbaijan,AZE,2012,1020923000000
Azerbaijan,AZE,2013,945809000
Azerbaijan,AZE,2014,1339218500000
Azerbaijan,AZE,2015,1318744800000
Azerbaijan,AZE,2016,1318744800000
Azerbaijan,AZE,2017,1318744800000
Azerbaijan,AZE,2018,2094893200000
Azerbaijan,AZE,2019,2503652800000
Azerbaijan,AZE,2020,2503652800000
Bahrain,BHR,1980,569685640000
Bahrain,BHR,1981,550125600000
Bahrain,BHR,1982,542790600000
Bahrain,BHR,1983,533010600000
Bahrain,BHR,1984,523230549999.99994
Bahrain,BHR,1985,511005599999.99994
Bahrain,BHR,1986,498780550000
Bahrain,BHR,1987,484110530000
Bahrain,BHR,1988,464550500000
Bahrain,BHR,1989,447435500000
Bahrain,BHR,1990,432765480000
Bahrain,BHR,1991,422985460000
Bahrain,BHR,1992,408315450000
Bahrain,BHR,1993,388755440000
Bahrain,BHR,1994,374085400000
Bahrain,BHR,1995,359415380000
Bahrain,BHR,1996,347190380000
Bahrain,BHR,1997,347190380000
Bahrain,BHR,1998,347190380000
Bahrain,BHR,1999,288510320000
Bahrain,BHR,2000,268950280000
Bahrain,BHR,2001,268950280000
Bahrain,BHR,2002,268950280000
Bahrain,BHR,2003,224940240000
Bahrain,BHR,2004,220050250000
Bahrain,BHR,2005,220050250000
Bahrain,BHR,2006,220050250000
Bahrain,BHR,2007,207825230000
Bahrain,BHR,2008,220050250000
Bahrain,BHR,2009,220050250000
Bahrain,BHR,2010,207998590000
Bahrain,BHR,2011,207998590000
Bahrain,BHR,2012,189356200000
Bahrain,BHR,2013,180988910000
Bahrain,BHR,2014,172200840000
Bahrain,BHR,2015,163461330000
Bahrain,BHR,2016,173789920000
Bahrain,BHR,2017,182469530000
Bahrain,BHR,2018,182926850000
Bahrain,BHR,2019,77313500000
Bahrain,BHR,2020,64831429999.99999
Bangladesh,BGD,1980,278850000000
Bangladesh,BGD,1981,309075000000
Bangladesh,BGD,1982,330525000000
Bangladesh,BGD,1983,303225000000
Bangladesh,BGD,1984,344175000000
Bangladesh,BGD,1985,344175000000
Bangladesh,BGD,1986,345150000000
Bangladesh,BGD,1987,345150000000
Bangladesh,BGD,1988,341250000000
Bangladesh,BGD,1989,706875000000
Bangladesh,BGD,1990,706875000000
Bangladesh,BGD,1991,702000000000
Bangladesh,BGD,1992,295425000000
Bangladesh,BGD,1993,289575000000
Bangladesh,BGD,1994,293475000000
Bangladesh,BGD,1995,265200000000
Bangladesh,BGD,1996,292500000000
Bangladesh,BGD,1997,289575000000
Bangladesh,BGD,1998,289575000000
Bangladesh,BGD,1999,314925000000
Bangladesh,BGD,2000,298350000000
Bangladesh,BGD,2001,331500000000
Bangladesh,BGD,2002,331500000000
Bangladesh,BGD,2003,422175000000
Bangladesh,BGD,2004,411450000000
Bangladesh,BGD,2005,396825000000
Bangladesh,BGD,2006,373425000000
Bangladesh,BGD,2007,364650000000
Bangladesh,BGD,2008,335400000000
Bangladesh,BGD,2009,354900000000
Bangladesh,BGD,2010,345150000000
Bangladesh,BGD,2011,340275000000
Bangladesh,BGD,2012,265375900000
Bangladesh,BGD,2013,243715290000
Bangladesh,BGD,2014,223447400000
Bangladesh,BGD,2015,197675650000
Bangladesh,BGD,2016,177890720000
Bangladesh,BGD,2017,162362470000
Bangladesh,BGD,2018,120421440000
Bangladesh,BGD,2019,110227264000
Bangladesh,BGD,2020,110227264000
Bolivia,BOL,1980,120142500000
Bolivia,BOL,1981,155750990000
Bolivia,BOL,1982,133942010000
Bolivia,BOL,1983,128344999999.99998
Bolivia,BOL,1984,129310000000.00002
Bolivia,BOL,1985,131240000000
Bolivia,BOL,1986,136064999999.99998
Bolivia,BOL,1987,112229500000
Bolivia,BOL,1988,113773500000
Bolivia,BOL,1989,113387500000
Bolivia,BOL,1990,109431000000
Bolivia,BOL,1991,114062995000
Bolivia,BOL,1992,106632500000
Bolivia,BOL,1993,104123500000
Bolivia,BOL,1994,105764000000
Bolivia,BOL,1995,105764000000
Bolivia,BOL,1996,103837890000
Bolivia,BOL,1997,114768190000
Bolivia,BOL,1998,144826530000
Bolivia,BOL,1999,144826530000
Bolivia,BOL,2000,188353630000
Bolivia,BOL,2001,216844100000
Bolivia,BOL,2002,227132320000
Bolivia,BOL,2003,218426900000
Bolivia,BOL,2004,211304280000
Bolivia,BOL,2005,207508470000
Bolivia,BOL,2006,203469960000
Bolivia,BOL,2007,199274670000
Bolivia,BOL,2008,271648259999.99997
Bolivia,BOL,2009,271648259999.99997
Bolivia,BOL,2010,271648259999.99997
Bolivia,BOL,2011,271648259999.99997
Bolivia,BOL,2012,306048500000
Bolivia,BOL,2013,286920500000
Bolivia,BOL,2014,270525040000
Bolivia,BOL,2015,270525040000
Bolivia,BOL,2016,292418150000
Bolivia,BOL,2017,247024880000
Bolivia,BOL,2018,229946270000
Bolivia,BOL,2019,212867680000
Bolivia,BOL,2020,212867680000
Brazil,BRA,1980,51675000000
Brazil,BRA,1981,58500000000
Brazil,BRA,1982,70200000000
Brazil,BRA,1983,79950000000
Brazil,BRA,1984,81900000000
Brazil,BRA,1985,90675000000
Brazil,BRA,1986,93600000000
Brazil,BRA,1987,102375000000
Brazil,BRA,1988,106275000000
Brazil,BRA,1989,113100000000
Brazil,BRA,1990,112125000000
Brazil,BRA,1991,120900000000
Brazil,BRA,1992,129675000000.00002
Brazil,BRA,1993,133575000000
Brazil,BRA,1994,142350000000
Brazil,BRA,1995,150150000000
Brazil,BRA,1996,154050000000
Brazil,BRA,1997,222300000000
Brazil,BRA,1998,220350000000
Brazil,BRA,1999,225225000000
Brazil,BRA,2000,215475000000
Brazil,BRA,2001,226654930000
Brazil,BRA,2002,252127830000
Brazil,BRA,2003,252945419999.99997
Brazil,BRA,2004,336192430000
Brazil,BRA,2005,315893080000
Brazil,BRA,2006,358687820000
Brazil,BRA,2007,376304500000
Brazil,BRA,2008,375526850000
Brazil,BRA,2009,378474470000
Brazil,BRA,2010,436115900000
Brazil,BRA,2011,473644580000
Brazil,BRA,2012,473422020000
Brazil,BRA,2013,472365530000
Brazil,BRA,2014,485698220000
Brazil,BRA,2015,443286150000
Brazil,BRA,2016,389105680000
Brazil,BRA,2017,380884080000
Brazil,BRA,2018,380346800000
Brazil,BRA,2019,375278650000
Brazil,BRA,2020,348528330000
Brunei,BRN,1980,201825000000
Brunei,BRN,1981,206700000000
Brunei,BRN,1982,215475000000
Brunei,BRN,1983,212550000000
Brunei,BRN,1984,232050000000
Brunei,BRN,1985,232050000000
Brunei,BRN,1986,331500000000
Brunei,BRN,1987,322725000000
Brunei,BRN,1988,313950000000
Brunei,BRN,1989,309075000000
Brunei,BRN,1990,322725000000
Brunei,BRN,1991,386100000000
Brunei,BRN,1992,390000000000
Brunei,BRN,1993,390000000000
Brunei,BRN,1994,390000000000
Brunei,BRN,1995,390000000000
Brunei,BRN,1996,390000000000
Brunei,BRN,1997,381225000000
Brunei,BRN,1998,372450000000
Brunei,BRN,1999,364650000000
Brunei,BRN,2000,356850000000
Brunei,BRN,2001,347100000000
Brunei,BRN,2002,341250000000
Brunei,BRN,2003,336375000000
Brunei,BRN,2004,336375000000
Brunei,BRN,2005,324675000000
Brunei,BRN,2006,312975000000
Brunei,BRN,2007,312975000000
Brunei,BRN,2008,312975000000
Brunei,BRN,2009,301275000000
Brunei,BRN,2010,293706630000
Brunei,BRN,2011,280800000000
Brunei,BRN,2012,269100000000
Brunei,BRN,2013,263249999999.99997
Brunei,BRN,2014,256425000000
Brunei,BRN,2015,251550000000
Brunei,BRN,2016,245700000000
Brunei,BRN,2017,234000000000
Brunei,BRN,2018,222300000000
Brunei,BRN,2019,222300000000
Brunei,BRN,2020,222300000000
CIS (BP),,1980,20469296000000
CIS (BP),,1981,21748627000000
CIS (BP),,1982,22388292000000
CIS (BP),,1983,23027958000000
CIS (BP),,1984,23987457000000
CIS (BP),,1985,25586620000000
CIS (BP),,1986,26226284000000
CIS (BP),,1987,26674051000000
CIS (BP),,1988,27185783000000
CIS (BP),,1989,33262604000000.004
CIS (BP),,1990,34880960000000
CIS (BP),,1991,36325592000000
CIS (BP),,1992,37120834000000
CIS (BP),,1993,38144440000000
CIS (BP),,1994,38360744000000
CIS (BP),,1995,37834656000000
CIS (BP),,1996,37364674000000
CIS (BP),,1997,38567944000000
CIS (BP),,1998,38421820000000
CIS (BP),,1999,38391598000000
CIS (BP),,2000,38597202000000
CIS (BP),,2001,38801780000000
CIS (BP),,2002,39355316000000
CIS (BP),,2003,39217785000000
CIS (BP),,2004,39075350000000
CIS (BP),,2005,39223022000000
CIS (BP),,2006,39222720000000
CIS (BP),,2007,43258663000000
CIS (BP),,2008,43351337000000
CIS (BP),,2009,45567570000000
CIS (BP),,2010,51330540000000
CIS (BP),,2011,51673370000000
CIS (BP),,2012,51825386000000
CIS (BP),,2013,51108578000000
CIS (BP),,2014,52551650000000
CIS (BP),,2015,52439250000000
CIS (BP),,2016,52858944000000
CIS (BP),,2017,55913853000000
CIS (BP),,2018,56442660000000
CIS (BP),,2019,56767067000000
CIS (BP),,2020,56601727000000
Canada,CAN,1980,2429700000000
Canada,CAN,1981,2498925000000
Canada,CAN,1982,2526225000000
Canada,CAN,1983,2547675000000
Canada,CAN,1984,2738775000000
Canada,CAN,1985,2714400000000
Canada,CAN,1986,2677350000000
Canada,CAN,1987,2625675000000
Canada,CAN,1988,2604225000000
Canada,CAN,1989,2663700000000
Canada,CAN,1990,2656875000000
Canada,CAN,1991,2643225000000
Canada,CAN,1992,2605200000000
Canada,CAN,1993,2176200000000.0002
Canada,CAN,1994,1850550000000
Canada,CAN,1995,1880775000000
Canada,CAN,1996,1893450000000
Canada,CAN,1997,1763775000000
Canada,CAN,1998,1704300000000
Canada,CAN,1999,1676025000000
Canada,CAN,2000,1640925000000
Canada,CAN,2001,1651650000000
Canada,CAN,2002,1622400000000
Canada,CAN,2003,1562925000000
Canada,CAN,2004,1560000000000
Canada,CAN,2005,1555013400000
Canada,CAN,2006,1561825600000
Canada,CAN,2007,1556217300000
Canada,CAN,2008,1670907900000
Canada,CAN,2009,1645396100000
Canada,CAN,2010,1883071000000
Canada,CAN,2011,1829293400000
Canada,CAN,2012,1904480100000
Canada,CAN,2013,1931387100000
Canada,CAN,2014,1892854300000
Canada,CAN,2015,2068144600000
Canada,CAN,2016,1995628200000
Canada,CAN,2017,1984051800000
Canada,CAN,2018,1912506700000
Canada,CAN,2019,1994067800000
Canada,CAN,2020,2353957700000
China,CHN,1980,708328400000
China,CHN,1981,704901700000
China,CHN,1982,865857900000
China,CHN,1983,879968050000
China,CHN,1984,896799400000
China,CHN,1985,878859400000
China,CHN,1986,871804300000
China,CHN,1987,901032450000
China,CHN,1988,929353500000
China,CHN,1989,1030845599999.9999
China,CHN,1990,1006858300000
China,CHN,1991,1009680399999.9999
China,CHN,1992,1409904100000
China,CHN,1993,1683842200000
China,CHN,1994,1682834300000
China,CHN,1995,1682834300000
China,CHN,1996,1179606700000
China,CHN,1997,1169427300000
China,CHN,1998,1377652400000
China,CHN,1999,1377652400000
China,CHN,2000,1377652400000
China,CHN,2001,1378458700000
China,CHN,2002,1277965500000
China,CHN,2003,1346625400000
China,CHN,2004,1459548800000
China,CHN,2005,1546642200000
China,CHN,2006,1696748500000
China,CHN,2007,2272839300000
China,CHN,2008,2710600900000
China,CHN,2009,2868212000000
China,CHN,2010,2747093700000
China,CHN,2011,2928997500000
China,CHN,2012,3139862300000
China,CHN,2013,3374516700000
China,CHN,2014,3576438000000
China,CHN,2015,4679402400000
China,CHN,2016,5479311500000
China,CHN,2017,6070297700000
China,CHN,2018,6363928000000
China,CHN,2019,8398550000000
China,CHN,2020,8398550000000
Colombia,COL,1980,118950000000
Colombia,COL,1981,118950000000
Colombia,COL,1982,117000000000
Colombia,COL,1983,110175000000
Colombia,COL,1984,106275000000
Colombia,COL,1985,104325000000
Colombia,COL,1986,110175000000
Colombia,COL,1987,94575000000
Colombia,COL,1988,123825000000
Colombia,COL,1989,106275000000
Colombia,COL,1990,98475000000
Colombia,COL,1991,96525000000
Colombia,COL,1992,180375000000
Colombia,COL,1993,205725000000
Colombia,COL,1994,208650000000
Colombia,COL,1995,211575000000
Colombia,COL,1996,211575000000
Colombia,COL,1997,191100000000
Colombia,COL,1998,191100000000
Colombia,COL,1999,183300000000
Colombia,COL,2000,125775000000
Colombia,COL,2001,124800000000
Colombia,COL,2002,117000000000
Colombia,COL,2003,111150000000
Colombia,COL,2004,116025000000
Colombia,COL,2005,110175000000
Colombia,COL,2006,119925000000
Colombia,COL,2007,120270856000
Colombia,COL,2008,119485780000
Colombia,COL,2009,129106790000
Colombia,COL,2010,147313100000
Colombia,COL,2011,148893900000
Colombia,COL,2012,156089200000
Colombia,COL,2013,150120360000
Colombia,COL,2014,129706400000
Colombia,COL,2015,118858920000
Colombia,COL,2016,109665110000
Colombia,COL,2017,106185354000
Colombia,COL,2018,103078290000
Colombia,COL,2019,86207464000
Colombia,COL,2020,86207464000
Denmark,DNK,1980,85485000000
Denmark,DNK,1981,85485000000
Denmark,DNK,1982,85485000000
Denmark,DNK,1983,102165000000
Denmark,DNK,1984,107377500000
Denmark,DNK,1985,94867500000
Denmark,DNK,1986,74017500000
Denmark,DNK,1987,72975000000
Denmark,DNK,1988,82357500000
Denmark,DNK,1989,112590000000
Denmark,DNK,1990,103207500000
Denmark,DNK,1991,105292500000
Denmark,DNK,1992,134482500000
Denmark,DNK,1993,131355000000
Denmark,DNK,1994,129270000000
Denmark,DNK,1995,125099999999.99998
Denmark,DNK,1996,118845000000
Denmark,DNK,1997,115717500000
Denmark,DNK,1998,108420000000
Denmark,DNK,1999,138450000000
Denmark,DNK,2000,140400000000
Denmark,DNK,2001,137475000000
Denmark,DNK,2002,125775000000
Denmark,DNK,2003,132600000000
Denmark,DNK,2004,128700000000.00002
Denmark,DNK,2005,118950000000
Denmark,DNK,2006,117000000000
Denmark,DNK,2007,71931780000
Denmark,DNK,2008,57177614000
Denmark,DNK,2009,66500250000
Denmark,DNK,2010,54031450000
Denmark,DNK,2011,44736467000
Denmark,DNK,2012,39572578000
Denmark,DNK,2013,37985590000
Denmark,DNK,2014,36433680000
Denmark,DNK,2015,17744148000
Denmark,DNK,2016,13568028000
Denmark,DNK,2017,28196104000
Denmark,DNK,2018,29189525000
Denmark,DNK,2019,29640902000
Denmark,DNK,2020,28027957000
Egypt,EGY,1980,80850000000
Egypt,EGY,1981,79887500000
Egypt,EGY,1982,195387500000
Egypt,EGY,1983,192500000000
Egypt,EGY,1984,226187500000
Egypt,EGY,1985,245437500000
Egypt,EGY,1986,279125000000
Egypt,EGY,1987,295487500000
Egypt,EGY,1988,316662500000
Egypt,EGY,1989,337837500000
Egypt,EGY,1990,364787500000
Egypt,EGY,1991,381150000000
Egypt,EGY,1992,419650000000
Egypt,EGY,1993,572687500000
Egypt,EGY,1994,607337500000
Egypt,EGY,1995,620812500000
Egypt,EGY,1996,817162500000
Egypt,EGY,1997,892237500000
Egypt,EGY,1998,981750000000
Egypt,EGY,1999,1177137500000
Egypt,EGY,2000,1379262400000
Egypt,EGY,2001,1498612500000
Egypt,EGY,2002,1594862500000
Egypt,EGY,2003,1660120000000
Egypt,EGY,2004,1799875000000
Egypt,EGY,2005,1823937500000
Egypt,EGY,2006,1910562500000
Egypt,EGY,2007,1992375000000
Egypt,EGY,2008,2069375000000
Egypt,EGY,2009,2107875000000
Egypt,EGY,2010,2127125000000
Egypt,EGY,2011,2107875000000
Egypt,EGY,2012,2103062400000.0002
Egypt,EGY,2013,2103062400000.0002
Egypt,EGY,2014,2104025000000
Egypt,EGY,2015,2007775000000
Egypt,EGY,2016,2137712500000.0002
Egypt,EGY,2017,2137712500000.0002
Egypt,EGY,2018,2137712500000.0002
Egypt,EGY,2019,2137712500000.0002
Egypt,EGY,2020,2137712500000.0002
Europe,,1980,24748951000000
Europe,,1981,25864073000000
Europe,,1982,26372656000000
Europe,,1983,27259502000000
Europe,,1984,28151312000000
Europe,,1985,29846018000000
Europe,,1986,30423390000000
Europe,,1987,31611590000000
Europe,,1988,32514426999999.996
Europe,,1989,38536423000000
Europe,,1990,40395172000000
Europe,,1991,38975727000000
Europe,,1992,39896503000000
Europe,,1993,39806732000000
Europe,,1994,39548744000000
Europe,,1995,38720707000000
Europe,,1996,38520683000000
Europe,,1997,39075440000000
Europe,,1998,38796738000000
Europe,,1999,38456814000000
Europe,,2000,38526060000000
Europe,,2001,39498790000000
Europe,,2002,39850437000000
Europe,,2003,39842060000000
Europe,,2004,39493786000000
Europe,,2005,39456413000000
Europe,,2006,39212830000000
Europe,,2007,39179783000000
Europe,,2008,38978745000000
Europe,,2009,38842180000000
Europe,,2010,38785294000000
Europe,,2011,39061638000000
Europe,,2012,39440628000000
Europe,,2013,39594930000000
Europe,,2014,39427174000000
Europe,,2015,39184704000000
Europe,,2016,38822086000000
Europe,,2017,41791230000000
Europe,,2018,41054380000000
Europe,,2019,40833702000000
Europe,,2020,40560340000000
Europe (BP),,1980,4279655000000
Europe (BP),,1981,4115446000000.0005
Europe (BP),,1982,3984364500000
Europe (BP),,1983,4231544000000.0005
Europe (BP),,1984,4163854599999.9995
Europe (BP),,1985,4259397000000
Europe (BP),,1986,4197105400000
Europe (BP),,1987,4937539000000
Europe (BP),,1988,5328646000000
Europe (BP),,1989,5273818500000
Europe (BP),,1990,5514212000000
