Entity,Code,Year,gas_reserves
Azerbaijan,AZE,2019,2.50365E+12
Azerbaijan,AZE,2020,2.50365E+12
Bahrain,BHR,1980,5.69686E+11
Bahrain,BHR,1981,5.50126E+11
Bahrain,BHR,1982,5.42791E+11
Bahrain,BHR,1983,5.33011E+11
Bahrain,BHR,1984,5.23231E+11
Bahrain,BHR,1985,5.11006E+11
Bahrain,BHR,1986,4.98781E+11
Bahrain,BHR,1987,4.84111E+11
Bahrain,BHR,1988,4.64551E+11
Bahrain,BHR,1989,4.47436E+11
Bahrain,BHR,1990,4.32765E+11
Bahrain,BHR,1991,4.22985E+11
Bahrain,BHR,1992,4.08315E+11
Bahrain,BHR,1993,3.88755E+11
Bahrain,BHR,1994,3.74085E+11
Bahrain,BHR,1995,3.59415E+11
Bahrain,BHR,1996,3.4719E+11
Bahrain,BHR,1997,3.4719E+11
Bahrain,BHR,1998,3.4719E+11
Bahrain,BHR,1999,2.8851E+11
Bahrain,BHR,2000,2.6895E+11
Bahrain,BHR,2001,2.6895E+11
Bahrain,BHR,2002,2.6895E+11
Bahrain,BHR,2003,2.2494E+11
Bahrain,BHR,2004,2.2005E+11
Bahrain,BHR,2005,2.2005E+11
Bahrain,BHR,2006,2.2005E+11
Bahrain,BHR,2007,2.07825E+11
Bahrain,BHR,2008,2.2005E+11
Bahrain,BHR,2009,2.2005E+11
Bahrain,BHR,2010,2.07999E+11
Bahrain,BHR,2011,2.07999E+11
Bahrain,BHR,2012,1.89356E+11
Bahrain,BHR,2013,1.80989E+11
Bahrain,BHR,2014,1.72201E+11
Bahrain,BHR,2015,1.63461E+11
Bahrain,BHR,2016,1.7379E+11
Bahrain,BHR,2017,1.8247E+11
Bahrain,BHR,2018,1.82927E+11
Bahrain,BHR,2019,77313500000
Bahrain,BHR,2020,64831430000
Bangladesh,BGD,1980,2.7885E+11
Bangladesh,BGD,1981,3.09075E+11
Bangladesh,BGD,1982,3.30525E+11
Bangladesh,BGD,1983,3.03225E+11
Bangladesh,BGD,1984,3.44175E+11
Bangladesh,BGD,1985,3.44175E+11
Bangladesh,BGD,1986,3.4515E+11
Bangladesh,BGD,1987,3.4515E+11
Bangladesh,BGD,1988,3.4125E+11
Bangladesh,BGD,1989,7.06875E+11
Bangladesh,BGD,1990,7.06875E+11
Bangladesh,BGD,1991,7.02E+11
Bangladesh,BGD,1992,2.95425E+11
Bangladesh,BGD,1993,2.89575E+11
Bangladesh,BGD,1994,2.93475E+11
Bangladesh,BGD,1995,2.652E+11
Bangladesh,BGD,1996,2.925E+11
Bangladesh,BGD,1997,2.89575E+11
Bangladesh,BGD,1998,2.89575E+11
Bangladesh,BGD,1999,3.14925E+11
Bangladesh,BGD,2000,2.9835E+11
Bangladesh,BGD,2001,3.315E+11
Bangladesh,BGD,2002,3.315E+11
Bangladesh,BGD,2003,4.22175E+11
Bangladesh,BGD,2004,4.1145E+11
Bangladesh,BGD,2005,3.96825E+11
Bangladesh,BGD,2006,3.73425E+11
Bangladesh,BGD,2007,3.6465E+11
Bangladesh,BGD,2008,3.354E+11
Bangladesh,BGD,2009,3.549E+11
Bangladesh,BGD,2010,3.4515E+11
Bangladesh,BGD,2011,3.40275E+11
Bangladesh,BGD,2012,2.65376E+11
Bangladesh,BGD,2013,2.43715E+11
Bangladesh,BGD,2014,2.23447E+11
Bangladesh,BGD,2015,1.97676E+11
Bangladesh,BGD,2016,1.77891E+11
Bangladesh,BGD,2017,1.62362E+11
Bangladesh,BGD,2018,1.20421E+11
Bangladesh,BGD,2019,1.10227E+11
Bangladesh,BGD,2020,1.10227E+11
Bolivia,BOL,1980,1.20143E+11
Bolivia,BOL,1981,1.55751E+11
Bolivia,BOL,1982,1.33942E+11
Bolivia,BOL,1983,1.28345E+11
Bolivia,BOL,1984,1.2931E+11
Bolivia,BOL,1985,1.3124E+11
Bolivia,BOL,1986,1.36065E+11
Bolivia,BOL,1987,1.1223E+11
Bolivia,BOL,1988,1.13774E+11
Bolivia,BOL,1989,1.13388E+11
Bolivia,BOL,1990,1.09431E+11
Bolivia,BOL,1991,1.14063E+11
Bolivia,BOL,1992,1.06633E+11
Bolivia,BOL,1993,1.04124E+11
Bolivia,BOL,1994,1.05764E+11
Bolivia,BOL,1995,1.05764E+11
Bolivia,BOL,1996,1.03838E+11
Bolivia,BOL,1997,1.14768E+11
Bolivia,BOL,1998,1.44827E+11
Bolivia,BOL,1999,1.44827E+11
Bolivia,BOL,2000,1.88354E+11
Bolivia,BOL,2001,2.16844E+11
Bolivia,BOL,2002,2.27132E+11
Bolivia,BOL,2003,2.18427E+11
Bolivia,BOL,2004,2.11304E+11
Bolivia,BOL,2005,2.07508E+11
Bolivia,BOL,2006,2.0347E+11
Bolivia,BOL,2007,1.99275E+11
Bolivia,BOL,2008,2.71648E+11
Bolivia,BOL,2009,2.71648E+11
Bolivia,BOL,2010,2.71648E+11
Bolivia,BOL,2011,2.71648E+11
Bolivia,BOL,2012,3.06049E+11
Bolivia,BOL,2013,2.86921E+11
Bolivia,BOL,2014,2.70525E+11
Bolivia,BOL,2015,2.70525E+11
Bolivia,BOL,2016,2.92418E+11
Bolivia,BOL,2017,2.47025E+11
Bolivia,BOL,2018,2.29946E+11
Bolivia,BOL,2019,2.12868E+11
Bolivia,BOL,2020,2.12868E+11
Brazil,BRA,1980,51675000000
Brazil,BRA,1981,58500000000
Brazil,BRA,1982,70200000000
Brazil,BRA,1983,79950000000
Brazil,BRA,1984,81900000000
Brazil,BRA,1985,90675000000
Brazil,BRA,1986,93600000000
Brazil,BRA,1987,1.02375E+11
Brazil,BRA,1988,1.06275E+11
Brazil,BRA,1989,1.131E+11
Brazil,BRA,1990,1.12125E+11
Brazil,BRA,1991,1.209E+11
Brazil,BRA,1992,1.29675E+11
Brazil,BRA,1993,1.33575E+11
Brazil,BRA,1994,1.4235E+11
Brazil,BRA,1995,1.5015E+11
Brazil,BRA,1996,1.5405E+11
Brazil,BRA,1997,2.223E+11
Brazil,BRA,1998,2.2035E+11
Brazil,BRA,1999,2.25225E+11
Brazil,BRA,2000,2.15475E+11
Brazil,BRA,2001,2.26655E+11
Brazil,BRA,2002,2.52128E+11
Brazil,BRA,2003,2.52945E+11
Brazil,BRA,2004,3.36192E+11
Brazil,BRA,2005,3.15893E+11
Brazil,BRA,2006,3.58688E+11
Brazil,BRA,2007,3.76305E+11
Brazil,BRA,2008,3.75527E+11
Brazil,BRA,2009,3.78474E+11
Brazil,BRA,2010,4.36116E+11
Brazil,BRA,2011,4.73645E+11
Brazil,BRA,2012,4.73422E+11
Brazil,BRA,2013,4.72366E+11
Brazil,BRA,2014,4.85698E+11
Brazil,BRA,2015,4.43286E+11
Brazil,BRA,2016,3.89106E+11
Brazil,BRA,2017,3.80884E+11
Brazil,BRA,2018,3.80347E+11
Brazil,BRA,2019,3.75279E+11
Brazil,BRA,2020,3.48528E+11
Brunei,BRN,1980,2.01825E+11
Brunei,BRN,1981,2.067E+11
Brunei,BRN,1982,2.15475E+11
Brunei,BRN,1983,2.1255E+11
Brunei,BRN,1984,2.3205E+11
Brunei,BRN,1985,2.3205E+11
Brunei,BRN,1986,3.315E+11
Brunei,BRN,1987,3.22725E+11
Brunei,BRN,1988,3.1395E+11
Brunei,BRN,1989,3.09075E+11
Brunei,BRN,1990,3.22725E+11
Brunei,BRN,1991,3.861E+11
Brunei,BRN,1992,3.9E+11
Brunei,BRN,1993,3.9E+11
Brunei,BRN,1994,3.9E+11
Brunei,BRN,1995,3.9E+11
Brunei,BRN,1996,3.9E+11
Brunei,BRN,1997,3.81225E+11
Brunei,BRN,1998,3.7245E+11
Brunei,BRN,1999,3.6465E+11
Brunei,BRN,2000,3.5685E+11
Brunei,BRN,2001,3.471E+11
Brunei,BRN,2002,3.4125E+11
Brunei,BRN,2003,3.36375E+11
Brunei,BRN,2004,3.36375E+11
Brunei,BRN,2005,3.24675E+11
Brunei,BRN,2006,3.12975E+11
Brunei,BRN,2007,3.12975E+11
Brunei,BRN,2008,3.12975E+11
Brunei,BRN,2009,3.01275E+11
Brunei,BRN,2010,2.93707E+11
Brunei,BRN,2011,2.808E+11
Brunei,BRN,2012,2.691E+11
Brunei,BRN,2013,2.6325E+11
Brunei,BRN,2014,2.56425E+11
Brunei,BRN,2015,2.5155E+11
Brunei,BRN,2016,2.457E+11
Brunei,BRN,2017,2.34E+11
Brunei,BRN,2018,2.223E+11
Brunei,BRN,2019,2.223E+11
Brunei,BRN,2020,2.223E+11
CIS (BP),,1980,2.04693E+13
CIS (BP),,1981,2.17486E+13
CIS (BP),,1982,2.23883E+13
CIS (BP),,1983,2.3028E+13
CIS (BP),,1984,2.39875E+13
CIS (BP),,1985,2.55866E+13
CIS (BP),,1986,2.62263E+13
CIS (BP),,1987,2.66741E+13
CIS (BP),,1988,2.71858E+13
CIS (BP),,1989,3.32626E+13
CIS (BP),,1990,3.4881E+13
CIS (BP),,1991,3.63256E+13
CIS (BP),,1992,3.71208E+13
CIS (BP),,1993,3.81444E+13
CIS (BP),,1994,3.83607E+13
CIS (BP),,1995,3.78347E+13
CIS (BP),,1996,3.73647E+13
CIS (BP),,1997,3.85679E+13
CIS (BP),,1998,3.84218E+13
CIS (BP),,1999,3.83916E+13
CIS (BP),,2000,3.85972E+13
CIS (BP),,2001,3.88018E+13
CIS (BP),,2002,3.93553E+13
CIS (BP),,2003,3.92178E+13
CIS (BP),,2004,3.90754E+13
CIS (BP),,2005,3.9223E+13
CIS (BP),,2006,3.92227E+13
CIS (BP),,2007,4.32587E+13
CIS (BP),,2008,4.33513E+13
CIS (BP),,2009,4.55676E+13
CIS (BP),,2010,5.13305E+13
CIS (BP),,2011,5.16734E+13
CIS (BP),,2012,5.18254E+13
CIS (BP),,2013,5.11086E+13
CIS (BP),,2014,5.25517E+13
CIS (BP),,2015,5.24393E+13
CIS (BP),,2016,5.28589E+13
CIS (BP),,2017,5.59139E+13
CIS (BP),,2018,5.64427E+13
CIS (BP),,2019,5.67671E+13
CIS (BP),,2020,5.66017E+13
Canada,CAN,1980,2.4297E+12
Canada,CAN,1981,2.49893E+12
Canada,CAN,1982,2.52623E+12
Canada,CAN,1983,2.54768E+12
Canada,CAN,1984,2.73878E+12
Canada,CAN,1985,2.7144E+12
Canada,CAN,1986,2.67735E+12
Canada,CAN,1987,2.62568E+12
Canada,CAN,1988,2.60423E+12
Canada,CAN,1989,2.6637E+12
Canada,CAN,1990,2.65688E+12
Canada,CAN,1991,2.64323E+12
Canada,CAN,1992,2.6052E+12
Canada,CAN,1993,2.1762E+12
Canada,CAN,1994,1.85055E+12
Canada,CAN,1995,1.88078E+12
Canada,CAN,1996,1.89345E+12
Canada,CAN,1997,1.76378E+12
Canada,CAN,1998,1.7043E+12
Canada,CAN,1999,1.67603E+12
Canada,CAN,2000,1.64093E+12
Canada,CAN,2001,1.65165E+12
Canada,CAN,2002,1.6224E+12
Canada,CAN,2003,1.56293E+12
Canada,CAN,2004,1.56E+12
Canada,CAN,2005,1.55501E+12
Canada,CAN,2006,1.56183E+12
Canada,CAN,2007,1.55622E+12
Canada,CAN,2008,1.67091E+12
Canada,CAN,2009,1.6454E+12
Canada,CAN,2010,1.88307E+12
Canada,CAN,2011,1.82929E+12
Canada,CAN,2012,1.90448E+12
Canada,CAN,2013,1.93139E+12
Canada,CAN,2014,1.89285E+12
Canada,CAN,2015,2.06814E+12
Canada,CAN,2016,1.99563E+12
Canada,CAN,2017,1.98405E+12
Canada,CAN,2018,1.91251E+12
Canada,CAN,2019,1.99407E+12
Canada,CAN,2020,2.35396E+12
China,CHN,1980,7.08328E+11
China,CHN,1981,7.04902E+11
China,CHN,1982,8.65858E+11
China,CHN,1983,8.79968E+11
China,CHN,1984,8.96799E+11
China,CHN,1985,8.78859E+11
China,CHN,1986,8.71804E+11
China,CHN,1987,9.01032E+11
China,CHN,1988,9.29354E+11
China,CHN,1989,1.03085E+12
China,CHN,1990,1.00686E+12
China,CHN,1991,1.00968E+12
China,CHN,1992,1.4099E+12
China,CHN,1993,1.68384E+12
China,CHN,1994,1.68283E+12
China,CHN,1995,1.68283E+12
China,CHN,1996,1.17961E+12
China,CHN,1997,1.16943E+12
China,CHN,1998,1.37765E+12
China,CHN,1999,1.37765E+12
China,CHN,2000,1.37765E+12
China,CHN,2001,1.37846E+12
China,CHN,2002,1.27797E+12
China,CHN,2003,1.34663E+12
China,CHN,2004,1.45955E+12
China,CHN,2005,1.54664E+12
China,CHN,2006,1.69675E+12
China,CHN,2007,2.27284E+12
China,CHN,2008,2.7106E+12
China,CHN,2009,2.86821E+12
China,CHN,2010,2.74709E+12
China,CHN,2011,2.929E+12
China,CHN,2012,3.13986E+12
China,CHN,2013,3.37452E+12
China,CHN,2014,3.57644E+12
China,CHN,2015,4.6794E+12
China,CHN,2016,5.47931E+12
China,CHN,2017,6.0703E+12
China,CHN,2018,6.36393E+12
China,CHN,2019,8.39855E+12
China,CHN,2020,8.39855E+12
Colombia,COL,1980,1.1895E+11
Colombia,COL,1981,1.1895E+11
Colombia,COL,1982,1.17E+11
Colombia,COL,1983,1.10175E+11
Colombia,COL,1984,1.06275E+11
Colombia,COL,1985,1.04325E+11
Colombia,COL,1986,1.10175E+11
Colombia,COL,1987,94575000000
Colombia,COL,1988,1.23825E+11
Colombia,COL,1989,1.06275E+11
Colombia,COL,1990,98475000000
Colombia,COL,1991,96525000000
Colombia,COL,1992,1.80375E+11
Colombia,COL,1993,2.05725E+11
Colombia,COL,1994,2.0865E+11
Colombia,COL,1995,2.11575E+11
Colombia,COL,1996,2.11575E+11
Colombia,COL,1997,1.911E+11
Colombia,COL,1998,1.911E+11
Colombia,COL,1999,1.833E+11
Colombia,COL,2000,1.25775E+11
Colombia,COL,2001,1.248E+11
Colombia,COL,2002,1.17E+11
Colombia,COL,2003,1.1115E+11
Colombia,COL,2004,1.16025E+11
Colombia,COL,2005,1.10175E+11
Colombia,COL,2006,1.19925E+11
Colombia,COL,2007,1.20271E+11
Colombia,COL,2008,1.19486E+11
Colombia,COL,2009,1.29107E+11
Colombia,COL,2010,1.47313E+11
Colombia,COL,2011,1.48894E+11
Colombia,COL,2012,1.56089E+11
Colombia,COL,2013,1.5012E+11
Colombia,COL,2014,1.29706E+11
Colombia,COL,2015,1.18859E+11
Colombia,COL,2016,1.09665E+11
Colombia,COL,2017,1.06185E+11
Colombia,COL,2018,1.03078E+11
Colombia,COL,2019,86207464000
Colombia,COL,2020,86207464000
Denmark,DNK,1980,85485000000
Denmark,DNK,1981,85485000000
Denmark,DNK,1982,85485000000
Denmark,DNK,1983,1.02165E+11
Denmark,DNK,1984,1.07378E+11
Denmark,DNK,1985,94867500000
Denmark,DNK,1986,74017500000
Denmark,DNK,1987,72975000000
Denmark,DNK,1988,82357500000
Denmark,DNK,1989,1.1259E+11
Denmark,DNK,1990,1.03208E+11
Denmark,DNK,1991,1.05293E+11
Denmark,DNK,1992,1.34483E+11
Denmark,DNK,1993,1.31355E+11
Denmark,DNK,1994,1.2927E+11
Denmark,DNK,1995,1.251E+11
Denmark,DNK,1996,1.18845E+11
Denmark,DNK,1997,1.15718E+11
Denmark,DNK,1998,1.0842E+11
Denmark,DNK,1999,1.3845E+11
Denmark,DNK,2000,1.404E+11
Denmark,DNK,2001,1.37475E+11
Denmark,DNK,2002,1.25775E+11
Denmark,DNK,2003,1.326E+11
Denmark,DNK,2004,1.287E+11
Denmark,DNK,2005,1.1895E+11
Denmark,DNK,2006,1.17E+11
Denmark,DNK,2007,71931780000
Denmark,DNK,2008,57177614000
Denmark,DNK,2009,66500250000
Denmark,DNK,2010,54031450000
Denmark,DNK,2011,44736467000
Denmark,DNK,2012,39572578000
Denmark,DNK,2013,37985590000
Denmark,DNK,2014,36433680000
Denmark,DNK,2015,17744148000
Denmark,DNK,2016,13568028000
Denmark,DNK,2017,28196104000
Denmark,DNK,2018,29189525000
Denmark,DNK,2019,29640902000
Denmark,DNK,2020,28027957000
